outsourcing_status,SectorName,SectorName_labelled,Frequency,avg_income,wtd_avg_income,Sum,perc,SectorName_short,SectorName_short_detail
Not outsourced,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,497.2780718728653,26580.877942122188,23814.491412482355,8446.644209397018,5.8872856432100695,Accommodation and food service activities,NA
Not outsourced,2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,3.648241099552856,31750,32367.31545407917,8446.644209397018,0.043191603779097656,Activities of extraterritorial organisations and bodies,NA
Not outsourced,3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,26.385296029939052,62300.307692307695,57350.92109910538,8446.644209397018,0.3123760794918415,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
Not outsourced,4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,233.15660890340945,36632.58805194805,34008.228435298624,8446.644209397018,2.7603460394841686,Administrative and support service activities,NA
Not outsourced,5,"AGRICULTURE, FORESTRY AND FISHING",35.69527321861084,53100.470588235294,36423.88377750874,8446.644209397018,0.4225970969500446,"Agriculture, forestry and fishing",NA
Not outsourced,6,"ARTS, ENTERTAINMENT AND RECREATION",152.48912571903364,28619.288099173555,26930.439607343433,8446.644209397018,1.8053219946139936,"Arts, entertainment and recreation",NA
Not outsourced,7,CONSTRUCTION,272.1058385089519,58701.181818181816,57729.29624746161,8446.644209397018,3.2214667951353992,Construction,NA
Not outsourced,8,EDUCATION,928.9293465797407,42571.182471264365,42664.00296065479,8446.644209397018,10.997614242426511,Education,NA
Not outsourced,9,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",102.35112441318795,72223.575,84854.37079706926,8446.644209397018,1.2117371334206404,"Electricity, gas, steam and air conditioning supply",NA
Not outsourced,10,FINANCIAL AND INSURANCE ACTIVITIES,414.6917470808785,59348.63202279202,62097.405325509346,8446.644209397018,4.909544391837029,Financial and insurance activities,NA
Not outsourced,11,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,1413.6355496645242,36722.902848043675,34943.27572958575,8446.644209397018,16.736061264328306,Human health and social work activities,NA
Not outsourced,12,INFORMATION AND COMMUNICATION,386.8998090570547,67450.58598726115,63987.907556293656,8446.644209397018,4.580515047936113,Information and communication,NA
Not outsourced,13,MANUFACTURING,708.4400283773821,49741.90509578544,47496.1627950582,8446.644209397018,8.387236526302742,Manufacturing,NA
Not outsourced,14,MINING AND QUARRYING,8.735801743449203,58868,54859.57103046843,8446.644209397018,0.10342334218044241,Mining and quarrying,NA
Not outsourced,15,NA,112.65983142563263,33402.793333333335,27105.895871630168,8446.644209397018,1.3337821344516545,NA,NA
Not outsourced,16,Not found,25.593461217445444,28000,30372.904179899546,8446.644209397018,0.30300153034707367,Not found,NA
Not outsourced,17,OTHER SERVICE ACTIVITIES,233.7715952629578,39373.76215909091,39021.24400391824,8446.644209397018,2.7676268760424807,Other service activities,NA
Not outsourced,18,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",331.41197175713916,53770.900177935946,53888.28530167306,8446.644209397018,3.923593364906247,"Professional, scientific and technical activities",NA
Not outsourced,19,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,674.3142179011577,45395.15425641026,44269.46326768988,8446.644209397018,7.983220332057707,Public administration and defence, Compulsory social security
Not outsourced,20,REAL ESTATE ACTIVITIES,105.76824762104803,44260.5387654321,39630.78270501278,8446.644209397018,1.2521925275765644,Real estate activities,NA
Not outsourced,21,TRANSPORTATION AND STORAGE,410.3781223585467,46679.564315789474,50974.51123556891,8446.644209397018,4.858475297230998,Transportation and storage,NA
Not outsourced,22,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",64.42690641748747,48710.08255319149,46514.16575109584,8446.644209397018,0.76275151196509,Water supply," Sewerage, waste management and remediation activities"
Not outsourced,23,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1303.0448379194481,36135.351354983206,36426.49985472953,8446.644209397018,15.426775481673435,Wholesale and retail trade, Repair of motor vehicles and motorcycles
Not outsourced,NA,NA,0.8331552475741444,18000,18000,8446.644209397018,0.009863742652345256,NA,NA
Outsourced,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,114.67088227648874,73538.45538461539,46561.011939905184,1708.3557906029905,6.712353650641702,Accommodation and food service activities,NA
Outsourced,3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,14.619010251924912,23417.085714285713,21162.33521282426,1708.3557906029905,0.8557356923152938,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
Outsourced,4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,107.56646065260637,29112.536,25773.634153526174,1708.3557906029905,6.296490534599887,Administrative and support service activities,NA
Outsourced,5,"AGRICULTURE, FORESTRY AND FISHING",3.8384947770993985,25044.533333333333,25767.70237502729,1708.3557906029905,0.2246894234920785,"Agriculture, forestry and fishing",NA
Outsourced,6,"ARTS, ENTERTAINMENT AND RECREATION",27.44978857453041,23354.444444444445,21607.352578331444,1708.3557906029905,1.6067957696822381,"Arts, entertainment and recreation",NA
Outsourced,7,CONSTRUCTION,70.55051118772731,75763.5,79257.70387574934,1708.3557906029905,4.129731732452841,Construction,NA
Outsourced,8,EDUCATION,139.61042596066295,60133.891627906974,66203.95042333553,1708.3557906029905,8.172210187632244,Education,NA
Outsourced,9,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",22.47985245868344,90854.4705882353,73130.20003537885,1708.3557906029905,1.315876504316986,"Electricity, gas, steam and air conditioning supply",NA
Outsourced,10,FINANCIAL AND INSURANCE ACTIVITIES,82.12181941879184,132420.234375,143214.63976803244,1708.3557906029905,4.807067700446971,Financial and insurance activities,NA
Outsourced,11,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,270.02033352449047,40256.795102040815,37315.45117771137,1708.3557906029905,15.80586052447439,Human health and social work activities,NA
Outsourced,12,INFORMATION AND COMMUNICATION,90.95650193818376,95950.57471264368,97333.03992109418,1708.3557906029905,5.324213049676219,Information and communication,NA
Outsourced,13,MANUFACTURING,124.42768132014209,73599.18444444444,61992.041700145244,1708.3557906029905,7.283475842946241,Manufacturing,NA
Outsourced,15,NA,12.737554627304183,31237.5,33214.62255128036,1708.3557906029905,0.7456031523040214,NA,NA
Outsourced,16,Not found,11.670041830449518,33021,30421.162657075758,1708.3557906029905,0.6831154197879586,Not found,NA
Outsourced,17,OTHER SERVICE ACTIVITIES,62.52594338522482,54297.037209302325,49283.89793536637,1708.3557906029905,3.660007109125396,Other service activities,NA
Outsourced,18,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",79.61469001207942,75539.28967741935,69683.0091164663,1708.3557906029905,4.6603108351321945,"Professional, scientific and technical activities",NA
Outsourced,19,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,75.34963731736657,76366.25103448276,80688.10545173367,1708.3557906029905,4.410652495916601,Public administration and defence, Compulsory social security
Outsourced,20,REAL ESTATE ACTIVITIES,16.512977438246125,27704.636363636364,27557.001557616208,1708.3557906029905,0.966600606798518,Real estate activities,NA
Outsourced,21,TRANSPORTATION AND STORAGE,98.8764545459442,50918.1240625,40399.44489636397,1708.3557906029905,5.787813937226989,Transportation and storage,NA
Outsourced,22,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",27.623265106311244,54523.82352941176,50316.51051703047,1708.3557906029905,1.6169503600044104,Water supply," Sewerage, waste management and remediation activities"
Outsourced,23,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,255.13346399873268,71777.35340782123,59181.02054112822,1708.3557906029905,14.934445471026816,Wholesale and retail trade, Repair of motor vehicles and motorcycles
